Restaurant name,Order ID,Store ID,Delivery Type,Payment type,Payment method,Is Pro Order,Restaurant Address,Order status,Order received at,Has Complaint?,Complaint Reason,Cancelled at,Cancellation reason,Cancellation owner,Subtotal,Service fee,Packaging charges,Minimum order value fee,Vendor Refunds,Customer Fee Total,Tax Charge,Online Payment Fee,Discount Funded by you,Voucher Funded by you,Commission,Operational Charges,Ads Fee,Wait time fee,Marketing Fees,Avoidable cancellation fee,Is Payable,Is Paid,Estimated earnings,Cash amount already collected by you,Amount owed back to platform,Payout Amount,Platform-Funded Discount,Platform-Funded Voucher,Total Discount,Total Voucher,Tax Amount,Order Items
GULA - VAL - Calle Cadis,101641050208,923697,Platform delivery,Online,SINGLE-1,N,"Carrer de Cadis 41
46004 Valencia València
España",Delivered,2026-05-02 22:06,N,,,,,33.90,0.00,0.00,0.00,0.00,0.00,1.27,0.00,9.57,0.00,6.08,0.00,0.00,1.00,,0.00,,,15.98,0.00,0.00,15.98,0.00,0.00,9.57,0.00,0.00,"1 Pleasure For 2 Combo [1 Burger Cheese Bacon, 1 Burger The Trufa Corp Chicken, 1 Fritas bacon queso, 1 Agua Cabreiroa (330 ml.), 1 Aquarius Naranja lata 330ml.]"
GULA - VAL - Calle Cadis,101641050753,923697,Platform delivery,Online,SINGLE-1,Y,"Carrer de Cadis 41
46004 Valencia València
España",Delivered,2026-05-02 22:05,N,,,,,20.40,0.00,0.00,0.00,0.00,0.00,0.87,0.00,6.12,0.00,3.57,0.00,0.00,0.00,Prime Order Fee: 0.55,0.00,,,9.29,0.00,0.00,9.29,0.00,0.00,6.12,0.00,0.00,"1 Cheese Bacon, 1 Fritas Trufadas"
GULA - VAL - Calle Cadis,101641129545,923697,Platform delivery,Cash,SINGLE-1,N,"Carrer de Cadis 41
46004 Valencia València
España",Delivered,2026-05-02 23:21,N,,,,,13.90,0.00,0.00,0.00,0.00,0.00,0.73,0.00,0.00,0.00,3.48,0.00,0.00,0.00,,0.00,,,9.69,0.00,0.00,9.69,0.00,0.00,0.00,0.00,0.00,1 BBK
GULA - VAL - Calle Cadis,101641361785,923697,Platform delivery,Online,SINGLE-1,N,"Carrer de Cadis 41
46004 Valencia València
España",Delivered,2026-05-03 13:02,N,,,,,23.20,0.00,0.00,0.00,0.00,0.00,0.85,0.00,6.96,0.00,4.06,0.00,0.00,0.00,,0.00,,,11.33,0.00,0.00,11.33,0.00,0.00,6.96,0.00,0.00,"1 Cheese Bacon, 1 Fritas Trufadas, 1 Coca-Cola Zero Azúcar Lata 330Ml."
GULA - VAL - Calle Cadis,101641944705,923697,Platform delivery,Online,SINGLE-1,Y,"Carrer de Cadis 41
46004 Valencia València
España",Delivered,2026-05-03 20:12,N,,,,,20.40,0.00,0.00,0.00,0.00,0.00,0.87,0.00,6.12,0.00,3.57,0.00,0.00,0.00,Prime Order Fee: 0.55,0.00,,,9.29,0.00,0.00,9.29,0.00,0.00,6.12,0.00,0.00,"1 Cheese Bacon [1 Sin Extras], 1 Fritas Trufadas [1 Sin Extras]"
GULA - VAL - Calle Cadis,101641949190,923697,Platform delivery,Online,SINGLE-1,N,"Carrer de Cadis 41
46004 Valencia València
España",Delivered,2026-05-03 20:12,N,,,,,13.90,0.00,0.00,0.00,0.00,0.00,0.51,0.00,4.17,0.00,2.43,0.00,0.00,0.00,,0.00,,,6.79,0.00,0.00,6.79,0.00,0.00,4.17,0.00,0.00,1 Cheese Bacon
GULA - VAL - Calle Cadis,101641959032,923697,Platform delivery,Online,SINGLE-1,N,"Carrer de Cadis 41
46004 Valencia València
España",Delivered,2026-05-03 20:16,N,,,,,34.90,0.00,0.00,0.00,0.00,0.00,1.33,0.00,9.57,0.00,6.33,0.00,0.00,0.50,,0.00,,,17.17,0.00,0.00,17.17,0.00,0.00,9.57,0.00,0.00,"1 Pleasure For 2 Combo [1 Burger The Trufa Corp, 1 Burger Cheese Bacon, 1 Fritas trufadas, 2 Agua Cabreiroa (330 ml.)]"
GULA - VAL - Calle Cadis,101641973598,923697,Platform delivery,Online,SINGLE-1,N,"Carrer de Cadis 41
46004 Valencia València
España",Delivered,2026-05-03 20:23,Y,Wrong item,,,,41.70,0.00,0.00,0.00,0.00,0.00,1.68,0.00,9.57,0.00,8.03,4.47,0.00,0.00,,0.00,,,17.95,0.00,0.00,17.95,0.00,0.00,9.57,0.00,0.00,"1 Pleasure For 2 Combo  [1 Burger The Trufa Corp, 1 Burger The Sinner, 1 Fritas bacon queso, 1 Coca-Cola Sabor Original lata 330ml., 1 Fuze Tea Limón Sabor Original Lata 330ml, 1 Extra: Tarta de Zanahoria]"
GULA - VAL - Calle Cadis,101641976510,923697,Platform delivery,Online,SINGLE-1,N,"Carrer de Cadis 41
46004 Valencia València
España",Delivered,2026-05-03 20:23,N,,,,,23.40,0.00,0.00,0.00,0.00,0.00,1.23,0.00,0.00,0.00,5.85,0.00,0.00,1.50,,0.00,,,14.82,0.00,0.00,14.82,0.00,0.00,0.00,0.00,0.00,"1 The Sinner Combo [1 Burger Buffalo Ranch, 1 Fuze Tea Limón Sabor Original Lata 330ml, 1 Extra: Fritas buffalo ranch]"
GULA - VAL - Calle Cadis,101641995699,923697,Platform delivery,Online,SINGLE-1,N,"Carrer de Cadis 41
46004 Valencia València
España",Delivered,2026-05-03 20:32,N,,,,,33.90,0.00,0.00,0.00,0.00,0.00,1.28,0.00,9.57,0.00,6.08,0.00,0.00,0.00,,0.00,,,16.97,0.00,0.00,16.97,0.00,0.00,9.57,0.00,0.00,"1 Pleasure For 2 Combo [1 Gula Cheeseburger, 1 Burger The Trufa Corp, 1 Fritas bacon queso, 1 Aquarius Naranja lata 330ml., 1 Cerveza Estrella Galicia (330 ml.)]"
GULA - VAL - Calle Cadis,101642009429,923697,Platform delivery,Online,SINGLE-1,N,"Carrer de Cadis 41
46004 Valencia València
España",Delivered,2026-05-03 20:37,N,,,,,31.90,0.00,0.00,0.00,0.00,0.00,1.18,0.00,9.57,0.00,5.58,0.00,0.00,0.50,,0.00,,,15.07,0.00,0.00,15.07,0.00,0.00,9.57,0.00,0.00,"1 Pleasure For 2 Combo [2 Gula Cheeseburger, 1 Fritas bacon queso, 1 Coca-Cola Sabor Original lata 330ml., 1 Fanta Naranja lata 330ml.]"
GULA - VAL - Calle Cadis,101642010299,923697,Platform delivery,Online,SINGLE-1,N,"Carrer de Cadis 41
46004 Valencia València
España",Delivered,2026-05-03 20:38,N,,,,,33.90,0.00,0.00,0.00,0.00,0.00,1.27,0.00,9.57,0.00,6.08,0.00,0.00,0.00,,0.00,,,16.98,0.00,0.00,16.98,0.00,0.00,9.57,0.00,0.00,"1 Pleasure For 2 Combo [1 Burger Spicy V, 1 Burger BBK, 1 Fritas trufadas, 2 Coca-Cola Zero Azúcar lata 330ml.]"
GULA - VAL - Calle Cadis,101642054249,923697,Platform delivery,Online,SINGLE-1,Y,"Carrer de Cadis 41
46004 Valencia València
España",Delivered,2026-05-03 21:00,N,,,,,20.40,0.00,0.00,0.00,0.00,0.00,0.87,0.00,6.12,0.00,3.57,0.00,0.00,0.00,Prime Order Fee: 0.55,0.00,,,9.29,0.00,0.00,9.29,0.00,0.00,6.12,0.00,0.00,"1 Cheese Bacon [1 Sin Extras], 1 Fritas Trufadas"
GULA - VAL - Calle Cadis,101642056937,923697,Platform delivery,Online,SINGLE-1,N,"Carrer de Cadis 41
46004 Valencia València
España",Delivered,2026-05-03 21:03,N,,,,,36.70,0.00,0.00,0.00,0.00,0.00,1.42,0.00,9.57,0.00,6.78,0.00,0.00,0.00,,0.00,,,18.93,0.00,0.00,18.93,0.00,0.00,9.57,0.00,0.00,"1 Pleasure For 2 Combo [1 Burger The Trufa Corp, 1 Burger Cheese Bacon, 1 Fritas trufadas, 1 Agua Cabreiroa (330 ml.), 1 Fanta Naranja lata 330ml., 1 Extra: Salsa bacon]"
GULA - VAL - Calle Cadis,101642057354,923697,Platform delivery,Online,SINGLE-1,N,"Carrer de Cadis 41
46004 Valencia València
España",Delivered,2026-05-03 21:03,N,,,,,35.90,0.00,0.00,0.00,0.00,0.00,1.38,0.00,9.57,0.00,6.58,0.00,0.00,0.00,,0.00,,,18.37,0.00,0.00,18.37,0.00,0.00,9.57,0.00,0.00,"1 Pleasure For 2 Combo [1 Burger Cheese Bacon, 1 Burger The Sinner, 1 Fritas buffalo ranch, 2 Aquarius Limón lata 330ml.]"
GULA - VAL - Calle Cadis,101642086927,923697,Platform delivery,Online,SINGLE-1,N,"Carrer de Cadis 41
46004 Valencia València
España",Delivered,2026-05-03 21:21,N,,,,,68.80,0.00,0.00,0.00,0.00,0.00,2.61,0.00,19.14,0.00,12.42,0.00,0.00,2.50,,0.00,,,32.13,0.00,0.00,32.13,0.00,0.00,19.14,0.00,0.00,"1 Pleasure For 2 Combo [1 Burger The Trufa Corp, 1 Burger The Trufa Corp Chicken, 1 Fritas trufadas, 1 Coca-Cola Zero Azúcar lata 330ml., 1 Fuze Tea Limón Sabor Original Lata 330ml], 1 Pleasure For 2 Combo [1 Burger Cheese Bacon, 1 Burger Spicy V, 1 Fritas bacon queso, 1 Coca-Cola Sabor Original lata 330ml., 1 Fanta Naranja lata 330ml.]"
GULA - VAL - Calle Cadis,101643847308,923697,Platform delivery,Online,SINGLE-1,N,"Carrer de Cadis 41
46004 Valencia València
España",Delivered,2026-05-05 21:34,N,,,,,14.90,0.00,0.00,0.00,0.00,0.00,0.66,0.00,2.24,0.00,3.17,0.00,0.00,0.00,,0.00,,,8.83,0.00,0.00,8.83,0.00,0.00,2.24,0.00,0.00,"1 The Sinner Combo [1 Gula Cheeseburger, 1 Coca-Cola Zero Azúcar lata 330ml.]"
GULA - VAL - Calle Cadis,101643863852,923697,Platform delivery,Cash,SINGLE-1,N,"Carrer de Cadis 41
46004 Valencia València
España",Delivered,2026-05-05 21:34,N,,,,,23.20,0.00,0.00,0.00,0.00,0.00,1.21,0.00,0.00,0.00,5.80,0.00,0.00,0.00,,0.00,,,16.19,0.00,0.00,16.19,0.00,0.00,0.00,0.00,0.00,"1 Cheese Bacon, 1 Fritas Bacon Queso, 1 Coca-Cola Zero Azúcar Lata 330Ml."
GULA - VAL - Calle Cadis,101643910086,923697,Platform delivery,Online,SINGLE-1,N,"Carrer de Cadis 41
46004 Valencia València
España",Delivered,2026-05-05 22:12,N,,,,,22.40,0.00,0.00,0.00,0.00,0.00,1.06,0.00,2.24,0.00,5.04,0.00,0.00,0.00,,0.00,,,14.06,0.00,0.00,14.06,0.00,0.00,2.24,0.00,0.00,"1 The Sinner Combo [1 Burger Spicy V, 1 Aquarius Limón lata 330ml., 1 Extra: Fritas bacon queso]"
GULA - VAL - Calle Cadis,101643925216,923697,Platform delivery,Online,SINGLE-1,Y,"Carrer de Cadis 41
46004 Valencia València
España",Delivered,2026-05-05 22:50,N,,,,,31.80,0.00,0.00,0.00,0.00,0.00,1.47,0.00,5.96,0.00,6.46,0.00,0.00,0.00,Prime Order Fee: 0.55,0.00,,,17.36,0.00,0.00,17.36,0.00,0.00,5.96,0.00,0.00,"2 The Sinner Combo [1 Burger Cheese Bacon, 1 Agua Cabreiroa (330 ml.)]"
GULA - VAL - Calle Cadis,101644684142,923697,Platform delivery,Cash,SINGLE-1,N,"Carrer de Cadis 41
46004 Valencia València
España",Delivered,2026-05-06 20:57,N,,,,,14.90,0.00,0.00,0.00,0.00,0.00,0.66,0.00,2.24,0.00,3.17,0.00,0.00,0.00,,0.00,,,8.83,0.00,0.00,8.83,0.00,0.00,2.24,0.00,0.00,"1 The Sinner Combo [1 Gula Cheeseburger, 1 Coca-Cola Zero Azúcar lata 330ml.]"
GULA - VAL - Calle Cadis,101644689991,923697,Platform delivery,Online,SINGLE-1,N,"Carrer de Cadis 41
46004 Valencia València
España",Delivered,2026-05-06 21:15,N,,,,,28.30,0.00,0.00,0.00,0.00,0.00,1.48,0.00,0.00,0.00,7.08,0.00,0.00,0.00,,0.00,,,19.74,0.00,0.00,19.74,0.00,0.00,0.00,0.00,0.00,"1 GULA Cheeseburger, 1 Fritas Bacon Queso, 1 Pollo Frito Al Estilo GULA [1 Salsa GULA]"
GULA - VAL - Calle Cadis,101644835436,923697,Platform delivery,Online,SINGLE-1,N,"Carrer de Cadis 41
46004 Valencia València
España",Delivered,2026-05-06 23:25,N,,,,,31.90,0.00,0.00,0.00,0.00,0.00,1.68,0.00,0.00,0.00,7.98,0.00,0.00,0.00,,0.00,,,22.24,0.00,0.00,22.24,0.00,0.00,0.00,0.00,0.00,"1 Pleasure For 2 Combo [2 Gula Cheeseburger, 1 Fritas bacon queso, 1 Coca-Cola Zero Azúcar lata 330ml., 1 Coca-Cola Sabor Original lata 330ml.]"
GULA - VAL - Calle Cadis,101645096135,923697,Platform delivery,Online,SINGLE-1,Y,"Carrer de Cadis 41
46004 Valencia València
España",Delivered,2026-05-07 13:42,N,,,,,15.90,0.00,0.00,0.00,0.00,0.00,0.79,0.00,2.98,0.00,3.23,0.00,0.00,0.00,Prime Order Fee: 0.55,0.00,,,8.35,0.00,0.00,8.35,0.00,0.00,2.98,0.00,0.00,"1 The Sinner Combo [1 Burger Spicy V, 1 Fanta Naranja lata 330ml.]"
GULA - VAL - Calle Cadis,101646592037,923697,Platform delivery,Online,SINGLE-1,Y,"Carrer de Cadis 41
46004 Valencia València
España",Delivered,2026-05-08 21:07,N,,,,,15.90,0.00,0.00,0.00,0.00,0.00,0.79,0.00,2.98,0.00,3.23,0.00,0.00,0.00,Prime Order Fee: 0.55,0.00,,,8.35,0.00,0.00,8.35,0.00,0.00,2.98,0.00,0.00,"1 The Sinner Combo [1 Burger Cheese Bacon, 1 Coca-Cola Sabor Original lata 330ml.]"
GULA - VAL - Calle Cadis,101646681709,923697,Platform delivery,Online,SINGLE-1,N,"Carrer de Cadis 41
46004 Valencia València
España",Delivered,2026-05-08 21:56,N,,,,,33.30,0.00,0.00,0.00,0.00,0.00,1.75,0.00,0.00,0.00,8.33,0.00,0.00,0.00,,0.00,,,23.22,0.00,0.00,23.22,0.00,0.00,0.00,0.00,0.00,"1 GULA Cheeseburger, 1 The Sinner, 1 Fritas Buffalo Ranch"
GULA - VAL - Calle Cadis,101646740045,923697,Platform delivery,Online,SINGLE-1,N,"Carrer de Cadis 41
46004 Valencia València
España",Delivered,2026-05-08 22:46,N,,,,,21.40,0.00,0.00,0.00,0.00,0.00,1.13,0.00,0.49,0.00,5.35,0.00,0.00,0.00,,0.00,,,14.43,0.00,0.00,14.43,0.00,0.00,0.49,0.00,0.00,"1 The Trufa Corp, 1 Fritas Trufadas"
GULA - VAL - Calle Cadis,101646781351,923697,Platform delivery,Online,SINGLE-1,N,"Carrer de Cadis 41
46004 Valencia València
España",Delivered,2026-05-08 23:13,N,,,,,55.70,0.00,0.00,0.00,0.00,0.00,2.93,0.00,2.99,0.00,13.93,0.00,0.00,0.00,,0.00,,,35.85,0.00,0.00,35.85,0.00,0.00,2.99,0.00,0.00,"1 The Trufa Corp, 1 Spicy V, 1 The Trufa Corp Chicken, 1 Fritas Trufadas, 1 Fritas Bacon Queso"
GULA - VAL - Calle Cadis,101646796923,923697,Platform delivery,Online,SINGLE-1,N,"Carrer de Cadis 41
46004 Valencia València
España",Delivered,2026-05-08 23:37,N,,,,,14.90,0.00,0.00,0.00,0.00,0.00,0.66,0.00,3.73,0.00,3.17,0.00,0.00,0.00,,0.00,,,7.34,0.00,0.00,7.34,0.00,0.00,3.73,0.00,0.00,"1 The Sinner Combo [1 Gula Cheeseburger, 1 Coca-Cola Zero Azúcar lata 330ml.]"
GULA - VAL - Calle Cadis,101647025503,923697,Pickup,Online,SINGLE-1,N,"Carrer de Cadis 41
46004 Valencia València
España",Delivered,2026-05-09 12:51,N,,,,,1.80,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.27,0.00,0.00,0.00,,0.00,,,1.47,0.00,0.00,1.47,0.00,0.00,0.00,0.00,0.00,1 Salsa GULA
GULA - VAL - Calle Cadis,101647054089,923697,Pickup,Online,SINGLE-1,N,"Carrer de Cadis 41
46004 Valencia València
España",Delivered,2026-05-09 13:15,N,,,,,3.40,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.00,0.00,0.51,0.00,0.00,0.00,,0.00,,,2.78,0.00,0.00,2.78,0.00,0.00,0.00,0.00,0.00,1 Nuestras Fritas
GULA - VAL - Calle Cadis,101647121549,923697,Pickup,Online,SINGLE-1,N,"Carrer de Cadis 41
46004 Valencia València
España",Delivered,2026-05-09 14:03,N,,,,,1.80,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.27,0.00,0.00,0.00,,0.00,,,1.47,0.00,0.00,1.47,0.00,0.00,0.00,0.00,0.00,1 Salsa Bacon
GULA - VAL - Calle Cadis,101647644119,923697,Platform delivery,Online,SINGLE-1,N,"Carrer de Cadis 41
46004 Valencia València
España",Delivered,2026-05-09 20:38,N,,,,,31.80,0.00,0.00,0.00,0.00,0.00,1.43,0.00,5.47,0.00,6.83,0.00,0.00,0.00,,0.00,,,18.07,0.00,0.00,18.07,0.00,0.00,5.47,0.00,0.00,"1 The Sinner Combo [1 The Pope's Burger, 1 Fuze Tea Limón Sabor Original Lata 330ml], 1 The Sinner Combo [1 Burger Cheese Bacon, 1 Aquarius Naranja lata 330ml.]"
GULA - VAL - Calle Cadis,101647666112,923697,Pickup,Online,SINGLE-1,N,"Carrer de Cadis 41
46004 Valencia València
España",Delivered,2026-05-09 20:48,N,,,,,3.40,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.00,0.00,0.51,0.00,0.00,0.00,,0.00,,,2.78,0.00,0.00,2.78,0.00,0.00,0.00,0.00,0.00,1 Nuestras Fritas
GULA - VAL - Calle Cadis,101647848748,923697,Platform delivery,Online,SINGLE-1,N,"Carrer de Cadis 41
46004 Valencia València
España",Delivered,2026-05-09 22:37,N,,,,,29.80,0.00,0.00,0.00,0.00,0.00,1.56,0.00,0.49,0.00,7.45,0.00,0.00,0.00,,0.00,,,20.30,0.00,0.00,20.30,0.00,0.00,0.49,0.00,0.00,"1 Golden Slider, 1 The Golden Bite Combo [1 Burger Cheese Bacon, 1 Fritas trufadas, 1 Fanta Limón lata 330ml.]"
GULA - VAL - Calle Cadis,101647893705,923697,Platform delivery,Online,SINGLE-1,Y,"Carrer de Cadis 41
46004 Valencia València
España",Delivered,2026-05-09 23:20,N,,,,,21.40,0.00,0.00,0.00,0.00,0.00,1.09,0.00,2.98,0.00,4.61,0.00,0.00,0.00,Prime Order Fee: 0.55,0.00,,,12.17,0.00,0.00,12.17,0.00,0.00,2.98,0.00,0.00,"1 The Sinner Combo [1 Gula Cheeseburger, 1 Aquarius Naranja lata 330ml., 1 Extra: Fritas bacon queso]"
GULA - VAL - Calle Cadis,101648211683,923697,Platform delivery,Online,SINGLE-1,N,"Carrer de Cadis 41
46004 Valencia València
España",Delivered,2026-05-10 13:41,N,,,,,15.90,0.00,0.00,0.00,0.00,0.00,0.72,0.00,4.73,0.00,3.42,0.00,0.00,0.00,,0.00,,,7.03,0.00,0.00,7.03,0.00,0.00,4.73,0.00,0.00,"1 The Sinner Combo [1 Burger BBK, 1 Coca-Cola Zero Azúcar lata 330ml.]"
