Store,Date,Orders,Sales,Commission,Net Payout,Platform,Avg Order Value
GULA - Cartagena,2026-05-04,1,0.0,0.0,-34.97,Uber Eats,0.0
GULA - MOS - Calle Río Segura,2026-05-04,3,80.9,22.5,58.400000000000006,Glovo,26.96666666666667
GULA - Valencia Ruzafa,2026-05-05,3,33.6,-7.58,23.549999999999997,Uber Eats,11.200000000000001
GULA - Móstoles,2026-05-05,3,50.7,-10.7,-0.49999999999999645,Uber Eats,16.900000000000002
GULA - Sevilla,2026-05-05,1,0.0,0.0,-28.47,Uber Eats,0.0
GULA - Cartagena,2026-05-05,1,0.0,0.0,-49.91,Uber Eats,0.0
GULA - VAL - Calle Cadis,2026-05-05,4,92.3,10.440000000000001,81.86,Glovo,23.075
GULA - CAA - Calle Jimenez de la Espada,2026-05-05,11,249.10000000000002,67.17999999999999,181.92000000000002,Glovo,22.645454545454548
GULA - MOS - Calle Río Segura,2026-05-05,3,98.6,28.59,70.00999999999999,Glovo,32.86666666666667
GULA - Valencia Ruzafa,2026-05-06,2,49.1,-11.59,37.510000000000005,Uber Eats,24.55
GULA - Móstoles,2026-05-06,4,103.9,-24.52,71.09,Uber Eats,25.975
GULA - Sevilla,2026-05-06,3,93.4,-15.819999999999999,53.97,Uber Eats,31.133333333333336
GULA - Cartagena,2026-05-06,6,269.40000000000003,-46.75,154.60999999999999,Uber Eats,44.900000000000006
GULA - VAL - Calle Cadis,2026-05-06,3,75.1,2.24,72.86,Glovo,25.03333333333333
GULA - CAA - Calle Jimenez de la Espada,2026-05-06,10,276.74,87.89000000000001,188.85,Glovo,27.674
GULA - SEV - Calle Chucena,2026-05-06,4,187.59999999999997,55.8,131.8,Glovo,46.89999999999999
GULA - MOS - Calle Río Segura,2026-05-06,6,174.10000000000002,42.17,131.93,Glovo,29.01666666666667
GULA - Valencia Ruzafa,2026-05-07,4,98.80000000000001,-19.59,66.57,Uber Eats,24.700000000000003
GULA - Móstoles,2026-05-07,7,101.5,-21.980000000000004,57.42,Uber Eats,14.5
GULA - Sevilla,2026-05-07,1,35.6,-8.4,27.2,Uber Eats,35.6
GULA - Cartagena,2026-05-07,6,192.79999999999998,-39.199999999999996,119.51,Uber Eats,32.13333333333333
GULA - VAL - Calle Cadis,2026-05-07,1,15.9,2.98,12.92,Glovo,15.9
GULA - CAA - Calle Jimenez de la Espada,2026-05-07,13,313.74000000000007,74.34,239.4,Glovo,24.133846153846157
GULA - SEV - Calle Chucena,2026-05-07,1,31.9,9.57,22.33,Glovo,31.9
GULA - MOS - Calle Río Segura,2026-05-07,4,150.5,20.029999999999998,130.47,Glovo,37.625
GULA - Valencia Ruzafa,2026-05-08,5,125.0,-27.47,91.27,Uber Eats,25.0
GULA - Móstoles,2026-05-08,9,165.23000000000002,-31.650000000000006,80.39999999999999,Uber Eats,18.35888888888889
GULA - Sevilla,2026-05-08,3,71.6,-12.030000000000001,37.25,Uber Eats,23.866666666666664
GULA - Cartagena,2026-05-08,2,30.3,-5.26,4.9300000000000015,Uber Eats,15.15
GULA - VAL - Calle Cadis,2026-05-08,5,141.2,10.19,131.01,Glovo,28.24
GULA - CAA - Calle Jimenez de la Espada,2026-05-08,13,563.56,154.21,409.34999999999997,Glovo,43.350769230769224
GULA - SEV - Calle Chucena,2026-05-08,5,175.20000000000002,53.32,121.88,Glovo,35.040000000000006
GULA - MOS - Calle Río Segura,2026-05-08,2,99.6,23.919999999999998,75.68,Glovo,49.8
GULA - Valencia Ruzafa,2026-05-09,14,387.90000000000003,-81.61999999999999,281.92,Uber Eats,27.70714285714286
GULA - Móstoles,2026-05-09,12,277.53,-55.45,173.22000000000003,Uber Eats,23.127499999999998
GULA - Sevilla,2026-05-09,10,281.0,-48.39,114.23000000000002,Uber Eats,28.1
GULA - Cartagena,2026-05-09,6,156.8,-32.61,70.37,Uber Eats,26.133333333333336
GULA - VAL - Calle Cadis,2026-05-09,7,93.4,8.94,84.46,Glovo,13.342857142857143
GULA - CAA - Calle Jimenez de la Espada,2026-05-09,22,628.8799999999999,167.57,461.31,Glovo,28.58545454545454
GULA - SEV - Calle Chucena,2026-05-09,6,176.00000000000003,41.74,134.26,Glovo,29.33333333333334
GULA - MOS - Calle Río Segura,2026-05-09,6,196.5,22.49,174.01,Glovo,32.75
GULA - Valencia Ruzafa,2026-05-10,4,77.7,-16.97,53.68,Uber Eats,19.425
GULA - Móstoles,2026-05-10,13,410.69999999999993,-86.07000000000001,277.15,Uber Eats,31.59230769230769
GULA - Sevilla,2026-05-10,9,191.7,-34.5,118.85,Uber Eats,21.299999999999997
GULA - Cartagena,2026-05-10,9,284.3,-49.38999999999999,113.44,Uber Eats,31.58888888888889
GULA - VAL - Calle Cadis,2026-05-10,8,142.75,18.68,124.07,Glovo,17.84375
GULA - CAA - Calle Jimenez de la Espada,2026-05-10,32,786.17,203.72999999999996,582.4399999999999,Glovo,24.5678125
GULA - SEV - Calle Chucena,2026-05-10,2,66.8,19.14,47.66,Glovo,33.4
GULA - MOS - Calle Río Segura,2026-05-10,3,115.25,12.23,103.01999999999998,Glovo,38.416666666666664
GULA - Valencia Ruzafa,2026-05-11,1,0.0,0.0,-1.5,Uber Eats,0.0
GULA - Móstoles,2026-05-11,1,0.0,0.0,-12.91,Uber Eats,0.0
GULA - Sevilla,2026-05-11,1,0.0,0.0,-47.18,Uber Eats,0.0
GULA - Cartagena,2026-05-11,2,0.0,0.0,-244.04999999999998,Uber Eats,0.0
