Referencia,Producto,Categoria,Formato Detectado,Unidad Base,Contenido por Unidad,Cantidad Total,Unidades Compradas,Coste Medio Sin IVA,Coste Medio Con IVA,Coste Medio por Unidad Base,Ultimo Coste Sin IVA,Ultimo Coste Con IVA,Ultimo Coste por Unidad Base,Coste Min Sin IVA,Coste Max Sin IVA,IVA %,Facturas,Ultima Fecha,Proveedor
00091292,DISPENSADOR SALSAS 360 TRANSP.,Alimentación,,UD,1,2.00,2.00,1.270,1.537,1.270,1.270,1.537,1.270,1.270,1.270,21.0,1,2026-05-02,Transgourmet Iberica S.A.U.
00215321,ESTRELLITAS GOURMET PATATA 70G,Alimentación,70 G,KG,0.07,1.00,1.00,0.910,1.001,13.000,0.910,1.001,13.000,0.910,0.910,10.0,1,2026-04-30,Transgourmet Iberica S.A.U.
00030418,FANTA LIMON LATA 33CL,Alimentación,33 CL,L,0.33,11.00,11.00,0.470,0.569,1.424,0.470,0.569,1.424,0.470,0.470,21.0,2,2026-05-09,Transgourmet Iberica S.A.U.
00030419,FANTA NARAN.LATA 33CL,Alimentación,33 CL,L,0.33,20.00,20.00,0.470,0.569,1.424,0.470,0.569,1.424,0.470,0.470,21.0,2,2026-05-09,Transgourmet Iberica S.A.U.
00047577,GEL MOUSSEL CLASSIQUE 650ML,Alimentación,650 ML,L,0.65,1.00,1.00,2.950,3.570,4.538,2.950,3.570,4.538,2.950,2.950,21.0,1,2026-05-09,Transgourmet Iberica S.A.U.
00213802,GUANTE QUALITY NIT.NE.S/PO.T-XL100U,Alimentación,100 UD,UD,100,1.00,1.00,3.170,3.836,0.032,3.170,3.836,0.032,3.170,3.170,21.0,1,2026-05-08,Transgourmet Iberica S.A.U.
00035397,HARINA GALLO EXT.1K,Alimentación,1 KG,KG,1,2.00,2.00,1.150,1.196,1.150,1.150,1.196,1.150,1.150,1.150,4.0,1,2026-04-16,Transgourmet Iberica S.A.U.
08000401,HARINA QUALITY 5K,Alimentación,5 KG,KG,5,1.00,1.00,3.150,3.276,0.630,3.150,3.276,0.630,3.150,3.150,4.0,1,2026-04-29,Transgourmet Iberica S.A.U.
00007744,"HARINA QUALITY FINA MAIZ 2,5K",Alimentación,2.5 KG,KG,2.5,2.00,2.00,8.995,9.895,3.598,9.040,9.944,3.616,8.950,9.040,10.0,2,2026-04-29,Transgourmet Iberica S.A.U.
00097842,"JALAPEÑO SAWORS RDJS.LATA 2,9K",Alimentación,2.9 KG,KG,2.9,1.00,1.00,9.040,9.944,3.117,9.040,9.944,3.117,9.040,9.040,10.0,1,2026-04-29,Transgourmet Iberica S.A.U.
00223842,"KIT KAT CHOCOLATINA 41,5G",Alimentación,41.5 G,KG,0.042,2.00,2.00,0.720,0.792,17.349,0.720,0.792,17.349,0.720,0.720,10.0,1,2026-04-30,Transgourmet Iberica S.A.U.
00226550,LAVAV.MICAL CONCEN.ULTRA 500ML,Alimentación,500 ML,L,0.5,4.00,4.00,0.708,0.856,1.415,0.710,0.859,1.420,0.700,0.710,21.0,4,2026-05-08,Transgourmet Iberica S.A.U.
00092435,LECHUGA ICEBERG E/U.,Alimentación,P.U,UD,1,2.00,2.00,0.750,0.780,0.750,0.780,0.811,0.780,0.720,0.780,4.0,2,2026-05-13,Transgourmet Iberica S.A.U.
00072466,MAYONESA CALVE CASER.CRIS.430ML,Alimentación,430 ML,L,0.43,1.00,1.00,1.950,2.145,4.535,1.950,2.145,4.535,1.950,1.950,10.0,1,2026-04-10,Transgourmet Iberica S.A.U.
00221698,MAYONESA GO-TAN SRIRACHA 500ML,Alimentación,500 ML,L,0.5,2.00,2.00,6.290,6.919,12.580,6.290,6.919,12.580,6.290,6.290,10.0,2,2026-04-29,Transgourmet Iberica S.A.U.
00072147,MAYONESA HEINZ C/BACON 875ML,Alimentación,875 ML,L,0.875,2.00,2.00,7.290,8.019,8.331,7.290,8.019,8.331,7.290,7.290,10.0,1,2026-04-10,Transgourmet Iberica S.A.U.
00223760,MAYONESA HEINZ TRUFADA 875ML,Alimentación,875 ML,L,0.875,4.00,4.00,9.990,10.989,11.417,9.990,10.989,11.417,9.990,9.990,10.0,1,2026-04-10,Transgourmet Iberica S.A.U.
00071355,MAYONESA YBARRA CUBO 10L,Alimentación,10 L,L,10,6.00,6.00,26.990,29.689,2.699,26.990,29.689,2.699,26.990,26.990,10.0,2,2026-04-29,Transgourmet Iberica S.A.U.
00222803,MINIBITES MONTES LARA PEPITAS 50G,Alimentación,50 G,KG,0.05,2.00,2.00,0.530,0.583,10.600,0.530,0.583,10.600,0.530,0.530,10.0,1,2026-04-30,Transgourmet Iberica S.A.U.
00049144,NATA ASTURIANA MONTAR 38% BRICK 1L,Alimentación,1 L,L,1,2.00,2.00,3.850,4.235,3.850,3.850,4.235,3.850,3.850,3.850,10.0,1,2026-04-30,Transgourmet Iberica S.A.U.
00050770,NESCAFE LATTE CAPUCC.205ML,Alimentación,205 ML,L,0.205,3.00,3.00,1.070,1.177,5.220,1.070,1.177,5.220,1.070,1.070,10.0,2,2026-04-30,Transgourmet Iberica S.A.U.
00030370,NESTEA LIMON LATA 33CL,Alimentación,33 CL,L,0.33,6.00,6.00,0.580,0.702,1.758,0.580,0.702,1.758,0.580,0.580,21.0,1,2026-05-09,Transgourmet Iberica S.A.U.
00039127,NESTEA TE VERDE MARACUYA LAT. 33CL,Alimentación,33 CL,L,0.33,2.00,12.00,0.580,0.702,1.758,0.580,0.702,1.758,0.580,0.580,21.0,2,2026-05-09,Transgourmet Iberica S.A.U.
00219915,PAN H.JUAN MAXI BURG.BRIOCHE 12U,Alimentación,12 UD,UD,12,1.00,1.00,3.900,4.290,0.325,3.900,4.290,0.325,3.900,3.900,10.0,1,2026-05-13,Transgourmet Iberica S.A.U.
00034526,PAN QUALITY RALL.5K,Alimentación,5 KG,KG,5,1.00,1.00,6.470,6.729,1.294,6.470,6.729,1.294,6.470,6.470,4.0,1,2026-04-29,Transgourmet Iberica S.A.U.
00056016,PAPEL ALUM.QUALITY 100MX29CM,Alimentación,,UD,1,3.00,3.00,7.730,9.353,7.730,7.730,9.353,7.730,7.730,7.730,21.0,3,2026-05-08,Transgourmet Iberica S.A.U.
00208173,PAPEL MICAL MULTIUS.ROLLO 138M,Alimentación,,UD,1,5.00,5.00,3.090,3.739,3.090,3.090,3.739,3.090,3.090,3.090,21.0,5,2026-05-08,Transgourmet Iberica S.A.U.
00222284,PEP.RIOVERDE AGRIDULCE LAMINA.520G,Alimentación,520 G,KG,0.52,3.00,3.00,1.680,1.848,3.231,1.680,1.848,3.231,1.680,1.680,10.0,3,2026-05-09,Transgourmet Iberica S.A.U.
00218839,"QUESO QUALITY CREMA CUBO 1,5K",Alimentación,1.5 KG,KG,1.5,1.00,1.00,11.240,11.690,7.493,11.240,11.690,7.493,11.240,11.240,4.0,1,2026-04-30,Transgourmet Iberica S.A.U.
00039781,RED BULL COCO LATA 25CL,Alimentación,25 CL,L,0.25,1.00,1.00,0.950,1.150,3.800,0.950,1.150,3.800,0.950,0.950,21.0,1,2026-04-16,Transgourmet Iberica S.A.U.
00205470,"SALSA DIAMIR BBQ.1,85K",Alimentación,1.85 KG,KG,1.85,3.00,3.00,4.717,5.188,2.550,4.750,5.225,2.568,4.650,4.750,10.0,3,2026-05-02,Transgourmet Iberica S.A.U.
00221656,SALSA MOMOYA KIMCHI 450G,Alimentación,450 G,KG,0.45,1.00,1.00,7.290,8.019,16.200,7.290,8.019,16.200,7.290,7.290,10.0,1,2026-04-29,Transgourmet Iberica S.A.U.
00225846,SALSA QUALITY BBQ C/BACON 900ML,Alimentación,900 ML,L,0.9,2.00,2.00,5.750,6.325,6.389,5.810,6.391,6.456,5.690,5.810,10.0,2,2026-04-29,Transgourmet Iberica S.A.U.
00225847,SALSA QUALITY BURGER 900ML,Alimentación,900 ML,L,0.9,9.00,9.00,5.116,5.628,5.684,5.160,5.676,5.733,5.050,5.160,10.0,5,2026-05-02,Transgourmet Iberica S.A.U.
00225850,SALSA QUALITY TARTARA 875ML,Alimentación,875 ML,L,0.875,3.00,3.00,2.970,3.267,3.394,2.990,3.289,3.417,2.930,2.990,10.0,3,2026-05-02,Transgourmet Iberica S.A.U.
00056388,SERVILL.QUALITY NEG.20X20 2C 160U,Alimentación,160 UD,UD,160,3.00,3.00,1.930,2.335,0.012,1.930,2.335,0.012,1.930,1.930,21.0,1,2026-04-30,Transgourmet Iberica S.A.U.
00022509,TAPA TARRINA 6CL 125U,Alimentación,125 UD,UD,125,1.00,1.00,2.140,2.589,0.017,2.140,2.589,0.017,2.140,2.140,21.0,1,2026-05-02,Transgourmet Iberica S.A.U.
00213031,TENEDOR MAD.16CM 10U,Alimentación,10 UD,UD,10,3.00,3.00,0.450,0.545,0.045,0.450,0.545,0.045,0.450,0.450,21.0,1,2026-04-30,Transgourmet Iberica S.A.U.
00040998,TOALL.WC SCOTTEX HUMEDA 74U,Alimentación,74 UD,UD,74,2.00,2.00,2.380,2.880,0.032,2.380,2.880,0.032,2.380,2.380,21.0,1,2026-05-08,Transgourmet Iberica S.A.U.
00092450,TOMATE VERDE E/K,Alimentación,E/K,KG,1,1.00,0.80,2.190,2.278,2.190,2.190,2.278,2.190,2.190,2.190,4.0,1,2026-05-09,Transgourmet Iberica S.A.U.
00219785,TOPPING QUALITY MIX CRISPY 450G,Alimentación,450 G,KG,0.45,1.00,1.00,9.800,10.780,21.778,9.800,10.780,21.778,9.800,9.800,10.0,1,2026-04-30,Transgourmet Iberica S.A.U.
00222613,VINAGRE MICAL LIMPIEZA 1L,Alimentación,1 L,L,1,3.00,3.00,0.760,0.920,0.760,0.760,0.920,0.760,0.760,0.760,21.0,3,2026-05-08,Transgourmet Iberica S.A.U.
00030056,"AGUA CORTES 1,5L PAGADO Detalles de Pago Cobrador Forma de Pago 30-04-2026 30600 S/PAGO TEF 055016706 Tarjeta: ************7504 Tipo: BANCO BILBAO VIZCAYA ARGENTARIA, S.A. Fecha 30/04/2026 - 15:47:11 ********** VENTA ************** 4.56 EUR Num. Aut.: 580573 AID: A0000000031010 DDFName: A0000000031010 ACRcode: 00 BASE IVA 4,10 0,46 TOTAL FACTURA 4,56 Importe Pagado % IVA 10,00 21,00 Pagado Documento 4,56 4,56 %R.E. Base Imponible 3,66 0,44 Cuota IVA 0,37 0,09 Cuota R.E. Transgourmet Ibérica, S.A.U. utiliza como código de trazabilidad (remesa de lotes) el número y la fecha de emisión de la factura. Número de Registre Productor RD 1055/22: ENV/2023/000003500 Le informamos que Transgourmet Ibérica, S.A.U pone a su disposición las fichas de seguridad de los productos de droguería y limpieza en la página web https://www.transgourmet.es/documentos/, dando de este modo debido cumplimiento al artículo 31 del Reglamento (CE) 1907/2006. Los clientes que compren productos de uso profesional declaran que se comprometen a descargarse todas las fichas de seguridad que necesiten desde nuestra página web.Asimismo ponemos a su disposición la declaración de conformidad de los materiales destinados a entrar en contacto con alimentos, tal y como establece el artículo 16 del Reglamento (CE) 1935/2004, a través de nuestro servicio de atención al cliente sac@transgourmet.es Página 1 de 1",Bebidas,1.5 L,L,1.5,2.00,2.00,0.240,0.264,0.160,,,,0.240,0.240,,2,2026-04-30,Transgourmet Iberica S.A.U.
00030058,"AGUA CORTES 50CL FRUTERIA PAGADO Detalles de Pago Cobrador Forma de Pago 13-05-2026 18913 S/PAGO TEF 055018567 Tarjeta: ************7504 Tipo: BANCO BILBAO VIZCAYA ARGENTARIA, S.A. Fecha 13/05/2026 - 13:09:32 ********** VENTA ************** 25.18 EUR Num. Aut.: 678443 AID: A0000000031010 DDFName: A0000000031010 ACRcode: 00 BASE IVA 21,83 3,35 TOTAL FACTURA 25,18 Importe Pagado % IVA 4,00 10,00 21,00 Pagado Documento 25,18 25,18 %R.E. Base Imponible 0,78 10,06 10,99 Cuota IVA 0,03 1,01 2,31 Cuota R.E. Transgourmet Ibérica, S.A.U. utiliza como código de trazabilidad (remesa de lotes) el número y la fecha de emisión de la factura. Número de Registre Productor RD 1055/22: ENV/2023/000003500 Le informamos que Transgourmet Ibérica, S.A.U pone a su disposición las fichas de seguridad de los productos de droguería y limpieza en la página web https://www.transgourmet.es/documentos/, dando de este modo debido cumplimiento al artículo 31 del Reglamento (CE) 1907/2006. Los clientes que compren productos de uso profesional declaran que se comprometen a descargarse todas las fichas de seguridad que necesiten desde nuestra página web.Asimismo ponemos a su disposición la declaración de conformidad de los materiales destinados a entrar en contacto con alimentos, tal y como establece el artículo 16 del Reglamento (CE) 1935/2004, a través de nuestro servicio de atención al cliente sac@transgourmet.es Página 1 de 1",Bebidas,50 CL,L,0.5,26.00,49.00,0.170,0.187,0.340,,,,0.170,0.170,,4,2026-05-13,Transgourmet Iberica S.A.U.
00010839,CAFE KAIKU LATTE CAPPUCC.230ML DROG/PERF/HIGIENE QUESOS,Bebidas,230 ML,L,0.23,0.00,0.00,,,,,,,,,,1,2026-05-02,Transgourmet Iberica S.A.U.
00099144,ALA POLLO BDJA. FAM. E/K 25%,Carniceria,E/K,KG,1,0.00,0.00,,,,,,,,,,3,2026-04-29,Transgourmet Iberica S.A.U.
00090038,"HUEVO L 63-73G 24U DERIVADOS LACTEOS DROG/PERF/HIGIENE FRUTERIA QUESOS Página 1 de 2 Transgourmet Iberica S.A.U. Pol.Emporda Internacional C/G Miquel 17469 Vilamalla (GIRONA) REGISTRO MERCANTIL GIRONA Tomo 587, Folio 1, Hoja GI-11489, CIF ES A17371758 cash&carry ES ES 10.21141/MU 40.24341/MU UE UE sólo profesionales CLIENTE 2347502 GM CASH CARTAGENA - 968323800 Horario: 8:00 - 14:00 / 15:30 - 20:00 Sábados: 8:00 - 14:00 Servicio Atención al Cliente 900300097 / sac@transgourmet.es NIF/CIF B75466789 DIRECCIÓN FISCAL DIRECCIÓN COMERCIAL THE GULA CORPORATION, S.L. THE GULA CORPORATION, S.L. CALLE VICTORIO 26 30003-MURCIA MURCIA N.I.F.: B75466789 Telf: 623312645 FACTURA 260046055016717 ALBARAN GULA CALLE VICTORIO 26 30003-MURCIA MURCIA N.I.F.: B75466789 008515211 CODIGO DESCRIPCIÓN IVA",Carniceria,24 UD,UD,24,0.00,0.00,,,,,,,,,,1,2026-04-30,Transgourmet Iberica S.A.U.
00219919,HUEVO QUALITY SUELO M 30U DROG/PERF/HIGIENE FRUTERIA QUESOS,Carniceria,30 UD,UD,30,0.00,0.00,,,,,,,,,,1,2026-05-09,Transgourmet Iberica S.A.U.
00029267,PECHUGA POLLO FILETE BDJA.FAM.E/K,Carniceria,E/K,KG,1,0.00,0.00,,,,,,,,,,3,2026-04-29,Transgourmet Iberica S.A.U.
00099145,PECHUGA POLLO S/H. BDJA.FAM.E/K 25%,Carniceria,E/K,KG,1,0.00,0.00,,,,,,,,,,3,2026-04-29,Transgourmet Iberica S.A.U.
00227164,"QUESO QUALITY CHEDDAR LONCH.1K Página 1 de 2 Transgourmet Iberica S.A.U. Pol.Emporda Internacional C/G Miquel 17469 Vilamalla (GIRONA) REGISTRO MERCANTIL GIRONA Tomo 587, Folio 1, Hoja GI-11489, CIF ES A17371758 cash&carry ES ES 10.21141/MU 40.24341/MU UE UE sólo profesionales CLIENTE 2347502 GM CASH CARTAGENA - 968323800 Horario: 8:00 - 14:00 / 15:30 - 20:00 Sábados: 8:00 - 14:00 Servicio Atención al Cliente 900300097 / sac@transgourmet.es NIF/CIF B75466789 DIRECCIÓN FISCAL DIRECCIÓN COMERCIAL THE GULA CORPORATION, S.L. THE GULA CORPORATION, S.L. CALLE VICTORIO 26 30003-MURCIA MURCIA N.I.F.: B75466789 Telf: 623312645 FACTURA 260046055018039 ALBARAN GULA CALLE VICTORIO 26 30003-MURCIA MURCIA N.I.F.: B75466789 008612440 Aplicación de Promociones PAGADO 0,07 Detalles de Pago Cobrador Forma de Pago 09-05-2026 14962 S/PAGO EFECTIVO 055018039 % IVA 4,00 10,00 21,00 %R.E. Telf: 623312645 FECHA 09-05-2026 BASE IVA 82,29 11,55 TOTAL FACTURA 93,84 Importe Pagado Pagado Documento 93,84 93,84 Base Imponible 23,36 15,99 42,94 Cuota IVA 0,93 1,60 9,02 Cuota R.E. Transgourmet Ibérica, S.A.U. utiliza como código de trazabilidad (remesa de lotes) el número y la fecha de emisión de la factura. Número de Registre Productor RD 1055/22: ENV/2023/000003500 Le informamos que Transgourmet Ibérica, S.A.U pone a su disposición las fichas de seguridad de los productos de droguería y limpieza en la página web https://www.transgourmet.es/documentos/, dando de este modo debido cumplimiento al artículo 31 del Reglamento (CE) 1907/2006. Los clientes que compren productos de uso profesional declaran que se comprometen a descargarse todas las fichas de seguridad que necesiten desde nuestra página web.Asimismo ponemos a su disposición la declaración de conformidad de los materiales destinados a entrar en contacto con alimentos, tal y como establece el artículo 16 del Reglamento (CE) 1935/2004, a través de nuestro servicio de atención al cliente sac@transgourmet.es Página 2 de 2",Carniceria,1 KG,KG,1,2.00,2.00,6.630,3.582,6.630,,,,6.630,6.630,,4,2026-05-09,Transgourmet Iberica S.A.U.
00043109,QUESO VIRGILIO GR.PADANO RALL.500G Aplicación de Promociones,Carniceria,500 G,KG,0.5,1.00,1.00,0.240,10.400,0.480,0.240,10.400,0.480,0.240,0.240,4.0,1,2026-04-30,Transgourmet Iberica S.A.U.
00210456,B.BASURA MICAL IN.85X110 10U 120L,Charcuteria,10 UD,UD,10,1.00,1.00,1.880,2.275,0.188,1.880,2.275,0.188,1.880,1.880,21.0,1,2026-04-29,Transgourmet Iberica S.A.U.
00220934,"BACON GALNO CHEF AHUM.E/K DERIVADOS LACTEOS Página 1 de 2 * Transgourmet Iberica S.A.U. Pol.Emporda Internacional C/G Miquel 17469 Vilamalla (GIRONA) REGISTRO MERCANTIL GIRONA Tomo 587, Folio 1, Hoja GI-11489, CIF ES A17371758 cash&carry ES ES 10.21141/MU 40.24341/MU UE UE sólo profesionales CLIENTE 2347502 GM CASH CARTAGENA - 968323800 Horario: 8:00 - 14:00 / 15:30 - 20:00 Sábados: 8:00 - 14:00 Servicio Atención al Cliente 900300097 / sac@transgourmet.es NIF/CIF B75466789 DIRECCIÓN FISCAL DIRECCIÓN COMERCIAL THE GULA CORPORATION, S.L. THE GULA CORPORATION, S.L. CALLE VICTORIO 26 30003-MURCIA MURCIA N.I.F.: B75466789 Telf: 623312645 FACTURA 260046055016337 ALBARAN GULA CALLE VICTORIO 26 30003-MURCIA MURCIA N.I.F.: B75466789 008487044 CODIGO DESCRIPCIÓN IVA",Charcuteria,E/K,KG,1,0.00,0.00,,,,,,,,,,2,2026-04-29,Transgourmet Iberica S.A.U.
00061097,"BACON GALNO E/K Página 1 de 2 * * Transgourmet Iberica S.A.U. Pol.Emporda Internacional C/G Miquel 17469 Vilamalla (GIRONA) REGISTRO MERCANTIL GIRONA Tomo 587, Folio 1, Hoja GI-11489, CIF ES A17371758 cash&carry ES ES 10.21141/MU 40.24341/MU UE UE sólo profesionales CLIENTE 2347502 GM CASH CARTAGENA - 968323800 Horario: 8:00 - 14:00 / 15:30 - 20:00 Sábados: 8:00 - 14:00 Servicio Atención al Cliente 900300097 / sac@transgourmet.es NIF/CIF B75466789 DIRECCIÓN FISCAL DIRECCIÓN COMERCIAL THE GULA CORPORATION, S.L. THE GULA CORPORATION, S.L. CALLE VICTORIO 26 30003-MURCIA MURCIA N.I.F.: B75466789 Telf: 623312645 FACTURA 260046055014409 ALBARAN GULA CALLE VICTORIO 26 30003-MURCIA MURCIA N.I.F.: B75466789 008342247 CODIGO DESCRIPCIÓN IVA",Charcuteria,E/K,KG,1,0.00,0.00,,,,,,,,,,1,2026-04-16,Transgourmet Iberica S.A.U.
00221988,BOLSA QUALITY VAC.200X300 P-100,Charcuteria,,UD,1,2.00,2.00,8.290,10.031,8.290,8.290,10.031,8.290,8.290,8.290,21.0,2,2026-04-29,Transgourmet Iberica S.A.U.
00037321,"CAFE KAIKU LATTE MACCHIATO 230ML Página 1 de 2 Transgourmet Iberica S.A.U. Pol.Emporda Internacional C/G Miquel 17469 Vilamalla (GIRONA) REGISTRO MERCANTIL GIRONA Tomo 587, Folio 1, Hoja GI-11489, CIF ES A17371758 cash&carry ES ES 10.21141/MU 40.24341/MU UE UE sólo profesionales CLIENTE 2347502 GM CASH CARTAGENA - 968323800 Horario: 8:00 - 14:00 / 15:30 - 20:00 Sábados: 8:00 - 14:00 Servicio Atención al Cliente 900300097 / sac@transgourmet.es NIF/CIF B75466789 DIRECCIÓN FISCAL DIRECCIÓN COMERCIAL THE GULA CORPORATION, S.L. THE GULA CORPORATION, S.L. CALLE VICTORIO 26 30003-MURCIA MURCIA N.I.F.: B75466789 Telf: 623312645 FACTURA 260046055013556 ALBARAN GULA CALLE VICTORIO 26 30003-MURCIA MURCIA N.I.F.: B75466789 008277299 PAGADO Detalles de Pago Cobrador Forma de Pago 10-04-2026 18913 S/PAGO EFECTIVO 055013556 % IVA 10,00 21,00 %R.E. Telf: 623312645 FECHA 10-04-2026 BASE IVA 215,67 21,61 TOTAL FACTURA 237,28 Importe Pagado Pagado Documento 237,28 237,28 Base Imponible 215,24 0,43 Cuota IVA 21,52 0,09 Cuota R.E. Transgourmet Ibérica, S.A.U. utiliza como código de trazabilidad (remesa de lotes) el número y la fecha de emisión de la factura. Número de Registre Productor RD 1055/22: ENV/2023/000003500 Le informamos que Transgourmet Ibérica, S.A.U pone a su disposición las fichas de seguridad de los productos de droguería y limpieza en la página web https://www.transgourmet.es/documentos/, dando de este modo debido cumplimiento al artículo 31 del Reglamento (CE) 1907/2006. Los clientes que compren productos de uso profesional declaran que se comprometen a descargarse todas las fichas de seguridad que necesiten desde nuestra página web.Asimismo ponemos a su disposición la declaración de conformidad de los materiales destinados a entrar en contacto con alimentos, tal y como establece el artículo 16 del Reglamento (CE) 1935/2004, a través de nuestro servicio de atención al cliente sac@transgourmet.es Página 2 de 2",Charcuteria,230 ML,L,0.23,0.00,0.00,,,,,,,,,,1,2026-04-10,Transgourmet Iberica S.A.U.
00213804,GUANTE QUALITY NIT.NE.S/PO.T-L 100U,Charcuteria,100 UD,UD,100,1.00,1.00,3.170,3.836,0.032,3.170,3.836,0.032,3.170,3.170,21.0,1,2026-04-29,Transgourmet Iberica S.A.U.
00223497,PAPEL MICAL VEG.HORNO 30 HOJAS,Charcuteria,,UD,1,2.00,2.00,1.165,1.410,1.165,1.180,1.428,1.180,1.150,1.180,21.0,2,2026-04-29,Transgourmet Iberica S.A.U.
00224736,BAYETA QUALITY ROLLO AMARIL.36CM 6M,Congelados,,UD,1,1.00,1.00,3.290,3.981,3.290,3.290,3.981,3.290,3.290,3.290,21.0,1,2026-04-16,Transgourmet Iberica S.A.U.
